2025-02-17 19:24:50,094 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2025-02-17 19:24:53,059 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship3.json at .\world\data\meta\treasure2\structures\beached-ship3.json but it doesn't exist.
2025-02-17 19:24:53,060 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/blacksmith1.json at .\world\data\meta\treasure2\structures\blacksmith1.json but it doesn't exist.
2025-02-17 19:24:53,061 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/castle1.json at .\world\data\meta\treasure2\structures\castle1.json but it doesn't exist.
2025-02-17 19:24:53,063 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave1.json at .\world\data\meta\treasure2\structures\cave1.json but it doesn't exist.
2025-02-17 19:24:53,065 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave2.json at .\world\data\meta\treasure2\structures\cave2.json but it doesn't exist.
2025-02-17 19:24:53,067 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/church1.json at .\world\data\meta\treasure2\structures\church1.json but it doesn't exist.
2025-02-17 19:24:53,069 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cobb1.json at .\world\data\meta\treasure2\structures\cobb1.json but it doesn't exist.
2025-02-17 19:24:53,071 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt1.json at .\world\data\meta\treasure2\structures\crypt1.json but it doesn't exist.
2025-02-17 19:24:53,072 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt2.json at .\world\data\meta\treasure2\structures\crypt2.json but it doesn't exist.
2025-02-17 19:24:53,074 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt3.json at .\world\data\meta\treasure2\structures\crypt3.json but it doesn't exist.
2025-02-17 19:24:53,075 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-tower2.json at .\world\data\meta\treasure2\structures\desert-tower2.json but it doesn't exist.
2025-02-17 19:24:53,076 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/dingy1.json at .\world\data\meta\treasure2\structures\dingy1.json but it doesn't exist.
2025-02-17 19:24:53,078 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/fortress1.json at .\world\data\meta\treasure2\structures\fortress1.json but it doesn't exist.
2025-02-17 19:24:53,079 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/house1.json at .\world\data\meta\treasure2\structures\house1.json but it doesn't exist.
2025-02-17 19:24:53,080 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/ionic1.json at .\world\data\meta\treasure2\structures\ionic1.json but it doesn't exist.
2025-02-17 19:24:53,082 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber1.json at .\world\data\meta\treasure2\structures\iron-chamber1.json but it doesn't exist.
2025-02-17 19:24:53,083 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber2.json at .\world\data\meta\treasure2\structures\iron-chamber2.json but it doesn't exist.
2025-02-17 19:24:53,084 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/large-tower1.json at .\world\data\meta\treasure2\structures\large-tower1.json but it doesn't exist.
2025-02-17 19:24:53,086 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/mine1.json at .\world\data\meta\treasure2\structures\mine1.json but it doesn't exist.
2025-02-17 19:24:53,087 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/obsidian-chamber1.json at .\world\data\meta\treasure2\structures\obsidian-chamber1.json but it doesn't exist.
2025-02-17 19:24:53,088 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/pirate-chamber1.json at .\world\data\meta\treasure2\structures\pirate-chamber1.json but it doesn't exist.
2025-02-17 19:24:53,090 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship1.json at .\world\data\meta\treasure2\structures\sunken-ship1.json but it doesn't exist.
2025-02-17 19:24:53,092 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship2.json at .\world\data\meta\treasure2\structures\sunken-ship2.json but it doesn't exist.
2025-02-17 19:24:53,093 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship3.json at .\world\data\meta\treasure2\structures\sunken-ship3.json but it doesn't exist.
2025-02-17 19:24:53,095 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower1.json at .\world\data\meta\treasure2\structures\tower1.json but it doesn't exist.
2025-02-17 19:24:53,097 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower2.json at .\world\data\meta\treasure2\structures\tower2.json but it doesn't exist.
2025-02-17 19:24:53,098 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower3.json at .\world\data\meta\treasure2\structures\tower3.json but it doesn't exist.
2025-02-17 19:24:53,099 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower4.json at .\world\data\meta\treasure2\structures\tower4.json but it doesn't exist.
2025-02-17 19:24:53,100 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower5.json at .\world\data\meta\treasure2\structures\tower5.json but it doesn't exist.
2025-02-17 19:24:53,102 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins1.json at .\world\data\meta\treasure2\structures\underwater-ruins1.json but it doesn't exist.
2025-02-17 19:24:53,104 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins2.json at .\world\data\meta\treasure2\structures\underwater-ruins2.json but it doesn't exist.
2025-02-17 19:24:53,105 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins3.json at .\world\data\meta\treasure2\structures\underwater-ruins3.json but it doesn't exist.
2025-02-17 19:24:53,106 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/wither-chamber1.json at .\world\data\meta\treasure2\structures\wither-chamber1.json but it doesn't exist.
2025-02-17 19:24:53,107 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/canopy-wishing-well1.json at .\world\data\meta\treasure2\structures\canopy-wishing-well1.json but it doesn't exist.
2025-02-17 19:24:53,109 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-wishing-well1.json at .\world\data\meta\treasure2\structures\desert-wishing-well1.json but it doesn't exist.
2025-02-17 19:24:53,110 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-wishing-well2.json at .\world\data\meta\treasure2\structures\desert-wishing-well2.json but it doesn't exist.
2025-02-17 19:24:53,111 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/simple-well1.json at .\world\data\meta\treasure2\structures\simple-well1.json but it doesn't exist.
2025-02-17 19:24:53,112 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/wood-draw-wishing-well1.json at .\world\data\meta\treasure2\structures\wood-draw-wishing-well1.json but it doesn't exist.
2025-02-17 19:24:53,114 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2025-02-17 19:24:53,115 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[submerged/dingy1.nbt, submerged/sunken-ship1.nbt, submerged/sunken-ship2.nbt, submerged/sunken-ship3.nbt, submerged/underwater-ruins1.nbt, submerged/underwater-ruins2.nbt, submerged/underwater-ruins3.nbt, subterranean/basic1.nbt, subterranean/basic2.nbt, subterranean/basic3.nbt, subterranean/basic4.nbt, subterranean/basic5.nbt, subterranean/cave1.nbt, subterranean/cave2.nbt, subterranean/cobb1.nbt, subterranean/crypt1.nbt, subterranean/ionic1.nbt, subterranean/iron-chamber1.nbt, subterranean/iron-chamber2.nbt, subterranean/mine1.nbt, subterranean/obsidian-chamber1.nbt, subterranean/pirate-chamber1.nbt, subterranean/wither-chamber1.nbt, surface/beached-ship1.nbt, surface/beached-ship2.nbt, surface/beached-ship3.nbt, surface/blacksmith1.nbt, surface/castle1.nbt, surface/church1.nbt, surface/crypt2.nbt, surface/crypt3.nbt, surface/desert-tower2.nbt, surface/fortress1.nbt, surface/house1.nbt, surface/large-tower1.nbt, surface/tower1.nbt, surface/tower2.nbt, surface/tower3.nbt, surface/tower4.nbt, surface/tower5.nbt, wells/canopy-wishing-well1.nbt, wells/desert-wishing-well1.nbt, wells/desert-wishing-well2.nbt, wells/simple-well1.nbt, wells/wood-draw-wishing-well1.nbt], resourceFolderLocations=[submerged, subterranean, surface, wells]]
2025-02-17 19:24:53,266 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2025-02-17 19:24:53,267 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[rulesets/aged_ruleset.json, rulesets/default_ruleset.json, rulesets/ruinous_ruleset.json], resourceFolderLocations=[]]
2025-02-17 19:24:53,274 [Server thread] WARN Treasure2 | TreasureDecayManager.java:201 | Expected to find meta treasure2:rulesets/aged_ruleset.json at .\world\data\decay\treasure2\rulesets\aged_ruleset.json but it doesn't exist.
2025-02-17 19:24:53,280 [Server thread] WARN Treasure2 | TreasureDecayManager.java:201 | Expected to find meta treasure2:rulesets/default_ruleset.json at .\world\data\decay\treasure2\rulesets\default_ruleset.json but it doesn't exist.
2025-02-17 19:24:53,282 [Server thread] WARN Treasure2 | TreasureDecayManager.java:201 | Expected to find meta treasure2:rulesets/ruinous_ruleset.json at .\world\data\decay\treasure2\rulesets\ruinous_ruleset.json but it doesn't exist.
2025-02-17 19:24:57,318 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: -24 77 152
2025-02-17 19:24:59,842 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! UNCOMMON chest at coords: 56 72 216
2025-02-17 19:25:01,825 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 88 79 344
2025-02-17 19:25:03,192 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! SCARCE chest at coords: 120 91 168
2025-02-17 19:25:04,652 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! UNCOMMON chest at coords: 136 75 408
2025-02-17 19:25:06,189 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 168 74 312
2025-02-17 19:25:08,938 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 216 80 408
2025-02-17 19:25:11,215 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! RARE chest at coords: 264 87 168
2025-02-17 19:25:11,640 [Server thread] INFO Treasure2 | WellGenerator.java:123 | CHEATER! Wishing Well at coords: 264 82 342
2025-02-17 19:25:12,847 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 296 82 72
2025-02-17 19:25:15,848 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! SCARCE chest at coords: 344 77 136
2025-02-17 19:25:17,774 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 376 75 216
2025-02-17 19:25:19,661 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 408 72 344
2025-02-17 19:25:28,018 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! SCARCE chest at coords: 280 76 456
2025-02-17 19:25:31,085 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! UNCOMMON chest at coords: 40 76 -104
2025-02-17 19:29:02,580 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2025-02-17 19:29:03,738 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/update.json
2025-02-17 19:29:03,779 [Server thread] WARN GottschCore | VersionChecker.java:55 | Bad URL: 
2025-02-17 19:29:09,811 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2025-02-17 19:29:09,816 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> LootResources [supportingResources=[pools/armor/common, pools/armor/uncommon, pools/armor/scarce, pools/armor/rare, pools/armor/epic, pools/food/common, pools/food/uncommon, pools/food/scarce, pools/food/rare, pools/food/epic, pools/items/common, pools/items/uncommon, pools/items/scarce, pools/items/rare, pools/items/epic, pools/potions/common, pools/potions/uncommon, pools/potions/scarce, pools/potions/rare, pools/potions/epic, pools/tools/common, pools/tools/uncommon, pools/tools/scarce, pools/tools/rare, pools/treasure/common, pools/treasure/uncommon, pools/treasure/scarce, pools/treasure/rare, pools/treasure/epic, pools/treasure/common_adornments, pools/treasure/common_all, pools/treasure/common_charms, pools/treasure/common_treasure, pools/treasure/uncommon_adornments, pools/treasure/uncommon_all, pools/treasure/uncommon_charms, pools/treasure/uncommon_treasure, pools/treasure/scarce_adornments, pools/treasure/scarce_all, pools/treasure/scarce_charms, pools/treasure/scarce_treasure, pools/treasure/rare_adornments, pools/treasure/rare_all, pools/treasure/rare_charms, pools/treasure/rare_treasure, pools/treasure/epic_adornments, pools/treasure/epic_all, pools/treasure/epic_charms, pools/treasure/epic_treasure, pools/treasure/legendary_adornments, pools/treasure/legendary_all, pools/treasure/legendary_charms, pools/treasure/legendary_treasure, pools/treasure/mythical_adornments, pools/treasure/mythical_all, pools/treasure/mythical_charms, pools/treasure/mythical_treasure], chestResources=[chests/common/general_chest, chests/uncommon/general_chest, chests/scarce/general_chest, chests/rare/general_chest, chests/epic/general_chest, chests/legendary/general_chest, chests/mythical/general_chest], specialResources=[chests/special/black_pearl_well, chests/special/cauldron_chest, chests/special/crystal_skull_chest, chests/special/gold_skull_chest, chests/special/skull_chest, chests/special/white_pearl_well, chests/special/wither_chest], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=[pools/armor, pools/food, pools/items, pools/potions, pools/tools, pools/treasure]]
2025-02-17 19:29:09,816 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:135 | adding mod to loaded mods list
2025-02-17 19:29:09,840 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2025-02-17 19:29:09,841 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/wither-chamber1.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2025-02-17 19:29:09,844 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic1.json at .\world\data\meta\treasure2\structures\basic1.json but it doesn't exist.
2025-02-17 19:29:09,852 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic2.json at .\world\data\meta\treasure2\structures\basic2.json but it doesn't exist.
2025-02-17 19:29:09,853 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic3.json at .\world\data\meta\treasure2\structures\basic3.json but it doesn't exist.
2025-02-17 19:29:09,854 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic4.json at .\world\data\meta\treasure2\structures\basic4.json but it doesn't exist.
2025-02-17 19:29:09,855 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic5.json at .\world\data\meta\treasure2\structures\basic5.json but it doesn't exist.
2025-02-17 19:29:09,856 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship1.json at .\world\data\meta\treasure2\structures\beached-ship1.json but it doesn't exist.
2025-02-17 19:29:09,858 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship2.json at .\world\data\meta\treasure2\structures\beached-ship2.json but it doesn't exist.
2025-02-17 19:29:09,859 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship3.json at .\world\data\meta\treasure2\structures\beached-ship3.json but it doesn't exist.
2025-02-17 19:29:09,859 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/blacksmith1.json at .\world\data\meta\treasure2\structures\blacksmith1.json but it doesn't exist.
2025-02-17 19:29:09,860 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/castle1.json at .\world\data\meta\treasure2\structures\castle1.json but it doesn't exist.
2025-02-17 19:29:09,862 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave1.json at .\world\data\meta\treasure2\structures\cave1.json but it doesn't exist.
2025-02-17 19:29:09,863 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave2.json at .\world\data\meta\treasure2\structures\cave2.json but it doesn't exist.
2025-02-17 19:29:09,864 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/church1.json at .\world\data\meta\treasure2\structures\church1.json but it doesn't exist.
2025-02-17 19:29:09,865 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cobb1.json at .\world\data\meta\treasure2\structures\cobb1.json but it doesn't exist.
2025-02-17 19:29:09,866 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt1.json at .\world\data\meta\treasure2\structures\crypt1.json but it doesn't exist.
2025-02-17 19:29:09,867 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt2.json at .\world\data\meta\treasure2\structures\crypt2.json but it doesn't exist.
2025-02-17 19:29:09,868 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt3.json at .\world\data\meta\treasure2\structures\crypt3.json but it doesn't exist.
2025-02-17 19:29:09,869 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-tower2.json at .\world\data\meta\treasure2\structures\desert-tower2.json but it doesn't exist.
2025-02-17 19:29:09,870 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/dingy1.json at .\world\data\meta\treasure2\structures\dingy1.json but it doesn't exist.
2025-02-17 19:29:09,871 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/fortress1.json at .\world\data\meta\treasure2\structures\fortress1.json but it doesn't exist.
2025-02-17 19:29:09,872 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/house1.json at .\world\data\meta\treasure2\structures\house1.json but it doesn't exist.
2025-02-17 19:29:09,873 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/ionic1.json at .\world\data\meta\treasure2\structures\ionic1.json but it doesn't exist.
2025-02-17 19:29:09,874 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber1.json at .\world\data\meta\treasure2\structures\iron-chamber1.json but it doesn't exist.
2025-02-17 19:29:09,876 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber2.json at .\world\data\meta\treasure2\structures\iron-chamber2.json but it doesn't exist.
2025-02-17 19:29:09,877 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/large-tower1.json at .\world\data\meta\treasure2\structures\large-tower1.json but it doesn't exist.
2025-02-17 19:29:09,878 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/mine1.json at .\world\data\meta\treasure2\structures\mine1.json but it doesn't exist.
2025-02-17 19:29:09,879 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/obsidian-chamber1.json at .\world\data\meta\treasure2\structures\obsidian-chamber1.json but it doesn't exist.
